objectid,title,creator,archival_date,date,description,subject,location,latitude,longitude,source,identifier,rights,display_template,filename,object_location,image_small,image_thumb
aacc-2002-79,A pecked mark plate,,,,"Porcelain, sealing wax, interior has overglaze enamel Four Seasons Flowers pattern in dark and light green, pink, blue, and white; black outlines. Base has three orange swirls and applied blob of brown sealing wax.",Food service tools and equipment,,,,"Asian American Comparative Collection, University of Idaho",AACC-2002-079,"Asian American Comparative Collection, University of Idaho",image,AACC-2002-79.jpg,/objects/AACC-2002-79.jpg,/objects/small/aacc-2002-79_sm.jpg,/objects/thumbs/aacc-2002-79_th.jpg
aacc-2003-300,A Tea Can,,,,"Metal, tin, notch configuration, remnant of jasmine tea inside, can decorated with paper around the body, two ladies and part of house, and tree on the back, roses and bird on the side, blue and red flags, blue bands, and money pattern on the front, on top is painted red and gold flower pattern, lid has red and gold painted circles on the side, and red rose in blue circle on top. Red Chinese Characters and English characters are on the front and blue Chinese characters on the lid. Chinese characters on front: Long De Tea Company, Hong Long, Our trade mark is money.",Packages and Containers,,,,"Asian American Comparative Collection, University of Idaho",AACC-2003-300,"Asian American Comparative Collection, University of Idaho",image,AACC-2003-300.jpg,/objects/AACC-2003-300.jpg,/objects/small/aacc-2003-300_sm.jpg,/objects/thumbs/aacc-2003-300_th.jpg
aacc-2005-123,Hong Kong Restaurant Cup,,,,"Porcelain white interior, front exterior has multicolored design of black and white magpie on red branches next to pink peony with yellow-green and greenish-blue leaves, the other side of exterior has drawing of bowl, name, and address of restaurant. Contains printing on exterior ""Hong Kong Restaurant""",Food service tools and equipment,,,,"Asian American Comparative Collection, University of Idaho",AACC-2005-123,"Asian American Comparative Collection, University of Idaho",image,AACC-2005-123.jpg,/objects/AACC-2005-123.jpg,/objects/small/aacc-2005-123_sm.jpg,/objects/thumbs/aacc-2005-123_th.jpg
aacc-2005-152,Rose Tooth Powder,,,,Metal round tin with green/red/yellow paper label. Contains pink powder.,Toilet Article,,,,"Asian American Comparative Collection, University of Idaho",AACC-2005-152,"Asian American Comparative Collection, University of Idaho",image,AACC-2005-152.jpg,/objects/AACC-2005-152.jpg,/objects/small/aacc-2005-152_sm.jpg,/objects/thumbs/aacc-2005-152_th.jpg
aacc-2008-85,A pecked mark plate,,,,"Porcelain, exterior plain, interior has overglaze enamel Four Seasons Flowers pattern, in black outline filled in with red, light and dark green, and pink/purple. Chinese characters pecked in the bowl, mark on the bowl is ""Big Mantion""",Food service tools and equipment,,,,"Asian American Comparative Collection, University of Idaho",AACC-2008-85,"Asian American Comparative Collection, University of Idaho",image,AACC-2008-85.jpg,/objects/AACC-2008-85.jpg,/objects/small/aacc-2008-85_sm.jpg,/objects/thumbs/aacc-2008-85_th.jpg
aacc-2018-057,Laundry Sprayer,,,,"A brass canister with a missing cap, one hole in a lid, a conical tube connects to this hole and is used to blow across it, thus forcing water in canister out in spray, it is for dampening laundry before ironing it",Housekeeping tools and equipment,,,,"Asian American Comparative Collection, University of Idaho",AACC-2018-057,"Asian American Comparative Collection, University of Idaho",image,AACC-2018-057.jpg,/objects/AACC-2018-057.jpg,/objects/small/aacc-2018-057_sm.jpg,/objects/thumbs/aacc-2018-057_th.jpg
aacc-98-135,Medicinal Powder featuring two ladies,,,,"Paper containing sachet, front has red border with design of products on pink background, central motif is two girls in green and pink cheongsams in front of water and pavilion.",Personal Gear,,,,"Asian American Comparative Collection, University of Idaho",AACC-98-135,"Asian American Comparative Collection, University of Idaho",image,AACC-98-135.jpg,/objects/AACC-98-135.jpg,/objects/small/aacc-98-135_sm.jpg,/objects/thumbs/aacc-98-135_th.jpg
acc-86-46,Gold Plow Pan,,,,"A tin plate, tray with three closed sides and one open.",Food service tools and equipment,,,,"Asian American Comparative Collection, University of Idaho",ACC-86-46,"Asian American Comparative Collection, University of Idaho",image,ACC-86-46.jpg,/objects/ACC-86-46.jpg,/objects/small/acc-86-46_sm.jpg,/objects/thumbs/acc-86-46_th.jpg
caligraphy_artifacts_1,Caligraphy Artifacts (Mutiple Items),,,,"Compressed ink formed into hexagonal shape; upper and lower ends broken off. Four Chinese characters in gold on one face and four Chinese characters in blue on one face. A set of connected brushes. A metal tin with a hinged lid, containing red ink paste. One wooden brush. A black glass bottle with the square corners cut off, base has press in circle with embossed characters. Five Chinese Characters on the side, translate to ""Ji Da Zhuang brand ink"", five chinese characters on base and ""Made in Hong Kong"" and embossed logo in shape of animal.",written communication equipment,,,,"Asian American Comparative Collection, University of Idaho","AACC-2007-3, ACC-86.5 A&B, AACC-98-123, AACC-98-126, AACC-2003-271, AACC-2023-095 1&2","Asian American Comparative Collection, University of Idaho",image,Caligraphy_artifacts_1.jpg,/objects/Caligraphy_artifacts_1.jpg,/objects/small/caligraphy_artifacts_1_sm.jpg,/objects/thumbs/caligraphy_artifacts_1_th.jpg
caligraphy_artifacts_2,Caligraphy Artifacts (Mutiple Items),,,,"Compressed ink formed into hexagonal shape; upper and lower ends broken off. Four Chinese characters in gold on one face and four Chinese characters in blue on one face. A set of connected brushes. A metal tin with a hinged lid, containing red ink paste. One wooden brush. A black glass bottle with the square corners cut off, base has press in circle with embossed characters. Five Chinese Characters on the side, translate to ""Ji Da Zhuang brand ink"", five chinese characters on base and ""Made in Hong Kong"" and embossed logo in shape of animal.",written communication equipment,,,,"Asian American Comparative Collection, University of Idaho","AACC-2007-3, ACC-86.5 A&B, AACC-98-123, AACC-98-126, AACC-2003-271, AACC-2023-095 1&2","Asian American Comparative Collection, University of Idaho",image,Caligraphy_artifacts_2.jpg,/objects/Caligraphy_artifacts_2.jpg,/objects/small/caligraphy_artifacts_2_sm.jpg,/objects/thumbs/caligraphy_artifacts_2_th.jpg
