filename,title,category,creator
Chinese_Americans_in_Idaho_Crossword_Labs.pdf,Chinese Americans in Idaho Crossword Puzzle,Crossword Puzzle,
Chinese_Coloring_Miner.png,Chinese Gold Miner Coloring Page,Coloring Book,
Coloringbook_Chinese_Miner.png,Chinese Miner Coloring Page,Coloring Book,
Coloringbook_doctor.png,Doctor Coloring Page,Coloring Book,
Coloringbook_train.png,Train Coloring Page,Coloring Book,
Help_Archaeologists_Find_Their_Excavation_Unit.png,Help Archaeologists Find their Excavation Unit,Archaeology Activity,Ally Gerlach
Help_Each_Archaeologist_Find_Their_Tools.png,Help Archaeologists Find their Tools,Archaeology Activity,Ally Gerlach
Jigsaw_puzzle_Chinese_miner.png,Chinese Miner Jigsaw Puzzle,Jigsaw Puzzle,
Jigsaw_puzzle_dancinglion.png,Dancing Lion Jigsaw Puzzle,Jigsaw Puzzle,
Match_Each_Tool.png,Match Each Tool,Archaeology Activity,Ally Gerlach
Unscramble_Archaeology_Words.png,Unscramble Archaeology Words,Archaeology Activity,Ally Gerlach
Chinese_boy_and_girl.png,Chinese Boy and Girl,Coloring Book,
Chinese_girl.png,Chinese Girl,Coloring Book,
Chinese_New_Year.png,Chinese New Year,Coloring Book,
https://www.standardmandarin.com/blog/paint-by-chinese-character,Paint by Chinese Character,Paint by Numbers,Standard Mandarin
https://www.standardmandarin.com/blog/paint-by-radical-for-children,Paint by Radical for Children,Paint by Numbers,Standard Mandarin
https://homemadeheather.com/chinese-new-year-color-by-number-printables/,Chinese New Year Color by Number,Paint by Numbers,Heather Painchaud
