period,date,event
Pre-European Contact,"14,000-11,000 years ago",Clovis culture and Paleo-Indian big game hunters inhabited the region.
Pre-European Contact,"11,000-10,600 years ago",Folsom culture thrived.
Pre-European Contact,"10,600-7,800 years ago",Plano culture inhabited the area.
Pre-European Contact,"7,800-1,300 years ago",Archaic culture emerged with subterranean dwellings and increased plant processing.
Pre-European Contact,"1,300-260 years ago","Native American cultures flourish with the introduction of horses, pottery, and bows and arrows."
Early Exploration and Fur Trade,1803,The Louisiana Purchase brought the future state of Idaho under U.S. control.
Early Exploration and Fur Trade,1805,Lewis and Clark Expedition explored Idaho at Lemhi Pass.
Early Exploration and Fur Trade,1809,Kullyspell House fur trading post built by Canadian fur traders near Lake Pend Oreille.
Early Exploration and Fur Trade,1810,"Fort Henry, the first American-owned fur post west of the Rocky Mountains, established near St. Anthony, Idaho."
Early Exploration and Fur Trade,1811,Overland Astorians explored future Oregon Trail routes through Idaho.
Early Exploration and Fur Trade,1812-1815,War of 1812
Early Exploration and Fur Trade,1819,Adams-Onis Treaty established Idaho's southern border on the 42nd Parallel.
Early Exploration and Fur Trade,1833,Captain B.L.E. Bonneville explored the Snake River and Salmon River regions.
Early Exploration and Fur Trade,1834,Fort Boise and Fort Hall established.
Early Exploration and Fur Trade,1836,Henry H. Spalding established a mission and school near Lapwai.
Early Exploration and Fur Trade,1843,First Oregon Trail wagons cross Idaho.
Early Exploration and Fur Trade,1846,"Oregon Treaty established the U.S. border with Canada, including Idaho."
Early Exploration and Fur Trade,1846-1848,Mexican American War
Early Exploration and Fur Trade,1849,"Over 20,000 gold rush emigrants passed through southeastern Idaho on the California Trail. Cantonment Loring, a U.S. Military post, established near Fort Hall."
Territorial Period,1850s,Chinese migrants began coming en masse to California.
Territorial Period,1853,Idaho becomes part of the Washington Territory.
Territorial Period,1855,Possible presence of Chinese miners in Idaho.
Territorial Period,1860,"Franklin, the first town in Idaho, is established."
Territorial Period,1860,"Gold discovered in Idaho, sparking a gold rush."
Territorial Period,1860,First Chinese immigrants arrived in Idaho.
Territorial Period,1861-1865,American Civil War
Territorial Period,1863,Idaho Territory is formed; Lewiston designated as the capital.
